Definição Synset,ID Synset,Definição Relacionada,ID Relacionada,Relação
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a tube with a constriction; used to control fluid flow (as in the air inlet of a carburetor),venturi.n.02,Hyponyms
conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,tube.n.01,a perforated tube driven into the ground to collect water from the surrounding area,well_point.n.01,Hyponyms
a branch or a part of a tree that is dead,deadwood.n.01,"a division of a stem, or secondary stem arising from the main stem of a plant",branch.n.02,Hypernyms
work hard,labor.v.02,be employed,work.v.02,Hypernyms
the essential qualities or characteristics by which something is recognized,nature.n.01,an essential and distinguishing attribute of something or someone; --Shakespeare,quality.n.01,Hypernyms
eat hastily without proper chewing,gobble.v.01,take in solid food,eat.v.01,Hypernyms
a solder that contains silver,silver_solder.n.01,an alloy (usually of lead and tin) used when melted to join two metal surfaces,solder.n.01,Hypernyms
change one's mind,rethink.v.01,judge or regard; look upon; judge,think.v.01,Hypernyms
change one's mind,rethink.v.01,change one's mind and assume the opposite viewpoint,about-face.v.02,Hyponyms
change one's mind,rethink.v.01,"modify one's opinion, make it less strong",backpedal.v.03,Hyponyms
any pathology of the muscles that is not attributable to nerve dysfunction,myopathy.n.01,any deviation from a healthy or normal condition,pathology.n.02,Hypernyms
a variety of Podaxaceae,stalked_puffball.n.02,a variety of gastromycete,podaxaceae.n.01,Hypernyms
the dead body of an animal especially one slaughtered and dressed for food,carcase.n.01,a natural object consisting of a dead animal or person,body.n.03,Hypernyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,a liquor or brew containing alcohol as the active agent,alcohol.n.01,Hypernyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,strong green liqueur flavored with wormwood and anise,absinth.n.01,Hyponyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,an Italian almond liqueur,amaretto.n.01,Hyponyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,liquorice-flavored usually colorless sweet liqueur made from aniseed,anisette.n.01,Hyponyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,a French liqueur originally made by Benedictine monks,benedictine.n.02,Hyponyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,"aromatic green or yellow liqueur flavored with orange peel and hyssop and peppermint oils; made at monastery near Grenoble, France",chartreuse.n.01,Hyponyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,coffee-flavored liqueur,coffee_liqueur.n.01,Hyponyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,sweet liqueur flavored with vanilla and cacao beans,creme_de_cacao.n.01,Hyponyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,strawberry-flavored liqueur,creme_de_fraise.n.01,Hyponyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,sweet green or white mint-flavored liqueur,creme_de_menthe.n.01,Hyponyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,a sweet Scotch whisky liqueur,drambuie.n.01,Hyponyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,golden Italian liqueur flavored with herbs,galliano.n.01,Hyponyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,liqueur flavored with caraway seed or cumin,kummel.n.01,Hyponyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,distilled from fermented juice of bitter wild marasca cherries,maraschino.n.01,Hyponyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,liqueur flavored with orange,orange_liqueur.n.01,Hyponyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,similar to absinthe but containing no wormwood,pastis.n.01,Hyponyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,(registered trademark) a liqueur flavored with anise,pernod.n.01,Hyponyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,small drink served after dinner (especially several liqueurs poured carefully so as to remain in separate layers),pousse-cafe.n.01,Hyponyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,sweet liqueur made from wine and brandy flavored with plum or peach or apricot kernels and bitter almonds,ratafia.n.01,Hyponyms
strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,an Italian liqueur made with elderberries and flavored with licorice,sambuca.n.01,Hyponyms
copepods with suctorial mouthparts; parasitic on fishes,branchiura.n.01,the order of animals,animal_order.n.01,Hypernyms
any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate,share.n.02,a certificate documenting the shareholder's ownership in the corporation,stock_certificate.n.01,Hypernyms
an abnormal curvature of the vertebral column,spinal_curvature.n.01,an abnormal physical condition resulting from defective genes or developmental deficiencies,abnormality.n.01,Hypernyms
an abnormal curvature of the vertebral column,spinal_curvature.n.01,abnormal spinal curvature that results when osteoporosis causes the spine to collapse; seen most often in elderly women,dowager's_hump.n.01,Hyponyms
an abnormal curvature of the vertebral column,spinal_curvature.n.01,an abnormal backward curve to the vertebral column,kyphosis.n.01,Hyponyms
an abnormal curvature of the vertebral column,spinal_curvature.n.01,an abnormal inward (forward) curvature of the vertebral column,lordosis.n.01,Hyponyms
an abnormal curvature of the vertebral column,spinal_curvature.n.01,an abnormal lateral curve to the vertebral column,scoliosis.n.01,Hyponyms
accounting: enter as credit,credit.v.03,keep an account of,account.v.02,Hypernyms
accounting: enter as credit,credit.v.03,sell or provide on credit,finance.v.02,Hyponyms
"communicate by hooting and panting, as of primates",pant-hoot.v.01,to utter a loud clamorous shout,hoot.v.01,Hypernyms
east Asian rhizomatous clump-forming perennial herbs having flowers on long leafless stalks; cosmopolitan in cultivation: day lilies; sometimes placed in subfamily Hemerocallidaceae,hemerocallis.n.01,genus of monocotyledonous plants comprising mostly herbs having usually petaloid sepals and petals and compound pistils,liliid_monocot_genus.n.01,Hypernyms
snailfishes,liparididae.n.01,any of various families of fish,fish_family.n.01,Hypernyms
a two-wheeled horse-drawn battle vehicle; used in war and races in ancient Egypt and Greece and Rome,chariot.n.02,a wheeled vehicle drawn by one or more horses,horse-drawn_vehicle.n.01,Hypernyms
a synthetic covering with two layers used experimentally to treat burn victims,artificial_skin.n.01,an artifact that covers something else (usually to protect or shelter or conceal it),covering.n.02,Hypernyms
dance on skates,figure_skate.v.01,move along on skates,skate.v.01,Hypernyms
dance on skates,figure_skate.v.01,"execute a spread eagle on skates, with arms and legs stretched out",spread-eagle.v.03,Hyponyms
come to the boiling point and change from a liquid to vapor,boil.v.01,undergo a transformation or a change of position or action,change_state.v.01,Hypernyms
come to the boiling point and change from a liquid to vapor,boil.v.01,overflow or cause to overflow while boiling,boil_over.v.01,Hyponyms
playing a set of bells that are (usually) hung in a tower,bell_ringing.n.03,musical activity (singing or whistling etc.),music.n.03,Hypernyms
playing a set of bells that are (usually) hung in a tower,bell_ringing.n.03,ringing tuned bells in a fixed order that is continually changing,change_ringing.n.01,Hyponyms
silence or overwhelm by shouting,shout_down.v.01,cause to be quiet or not talk,hush.v.02,Hypernyms
the written form of a word,written_word.n.01,a unit of language that native speakers can identify,word.n.01,Hypernyms
the written form of a word,written_word.n.01,a word that is written with two letters in an alphabetic writing system,bigram.n.01,Hyponyms
the written form of a word,written_word.n.01,a word that is written with four letters in an alphabetic writing system,tetragram.n.01,Hyponyms
the written form of a word,written_word.n.01,a word that is written with three letters in an alphabetic writing system,trigram.n.01,Hyponyms
the addition of an ingredient for the purpose of enrichment (as the addition of alcohol to wine or the addition of vitamins to food),fortification.n.03,act of making fuller or more meaningful or rewarding,enrichment.n.01,Hypernyms
a registered nurse who has received special training as a midwife,nurse-midwife.n.01,a graduate nurse who has passed examinations for registration,registered_nurse.n.01,Hypernyms
the interconnected system of spaces and vessels between body tissues and organs by which lymph circulates throughout the body,lymphatic_system.n.01,the vessels and tissue that carry or circulate fluids such as blood or lymph or sap through the body of an animal or plant,vascular_system.n.01,Hypernyms
a group of people who try actively to influence legislation,lobby.n.03,a unit with political responsibilities,political_unit.n.01,Hypernyms
a group of people who try actively to influence legislation,lobby.n.03,a powerful lobby that advocates the right to own and bear arms and rejects any gun regulation by the government,national_rifle_association.n.01,Hyponyms
